Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2016-17,2017-18,2018-19,2019-20,2020-21,Source document,Source table,URL
Agriculture Portfolio,Australian Pesticides and Veterinary Medicines Authority,"Outcome 1: Protection of the health and safety of people, animals, the environment, and agricultural and livestock industries through regulation of pesticides and veterinary medicines.",Program 1.1: Australian Pesticides and Veterinary Medicines Authority,Departmental Expenses,Revenues from other independent sources,,212,215,218,221,224,2017-18 PBS - APVMA tables.XLSX,APVMA Table 2.1  ,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Cotton Research and Development Corporation,"Outcome 1: Adoption of innovation that leads to increased productivity, competitiveness and environmental sustainability through investment in research and development that benefits the Australian cotton industry and the wider community. ",Program 1.1:  Cotton Research and Development Corporation,Departmental Expenses,Special appropriations,Primary Industries Research and Development Act 1989 s. 30(3) – Cotton R&D Corporation,7189,10213,10648,8193,7789,2017-18 PBS - CRDC tables.XLSX,CRDC Table 2.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Cotton Research and Development Corporation,"Outcome 1: Adoption of innovation that leads to increased productivity, competitiveness and environmental sustainability through investment in research and development that benefits the Australian cotton industry and the wider community. ",Program 1.1:  Cotton Research and Development Corporation,Departmental Expenses,Special appropriations,Industry Levies,7220,10820,10505,7805,7805,2017-18 PBS - CRDC tables.XLSX,CRDC Table 2.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Cotton Research and Development Corporation,"Outcome 1: Adoption of innovation that leads to increased productivity, competitiveness and environmental sustainability through investment in research and development that benefits the Australian cotton industry and the wider community. ",Program 1.1:  Cotton Research and Development Corporation,Departmental Expenses,Revenues from other independent sources,,7895,1488,3962,3704,3109,2017-18 PBS - CRDC tables.XLSX,CRDC Table 2.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Cotton Research and Development Corporation,"Outcome 1: Adoption of innovation that leads to increased productivity, competitiveness and environmental sustainability through investment in research and development that benefits the Australian cotton industry and the wider community. ",Program 1.1:  Cotton Research and Development Corporation,Departmental Expenses,Reserves,,1809,0,0,0,0,2017-18 PBS - CRDC tables.XLSX,CRDC Table 2.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Administered expenses,Special account,"Natural Resources Management Account – s. 80, PGPA Act [s. 11, Natural Resources Management (Financial Assistance) Act 1992]",3106,0,0,0,0,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Departmental expenses,Departmental appropriation,,34128,26424,26544,26044,26044,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Departmental expenses,Expenses not requiring appropriation in the budget year,,819,545,545,545,545,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Administered expenses,Expenses not requiring appropriation in the budget year,Drought Recovery Concessional Loans Scheme – state administration,-506,234,234,234,234,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Administered expenses,Expenses not requiring appropriation in the budget year,Drought Concessional Loans Scheme – administration,1471,2106,2106,786,127,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Administered expenses,Expenses not requiring appropriation in the budget year,Farm Business Concessional Loans Scheme – discount expenses (use to be Drought Concessional Loans Scheme – ongoing arrangements),387,387,387,387,387,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Administered expenses,Expenses not requiring appropriation in the budget year,Farm Business Concessional Loans Scheme – state administration (use to be Drought Concessional Loans Scheme – ongoing arrangements),-5625,-5000,1250,1250,1250,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Administered expenses,Expenses not requiring appropriation in the budget year,Farm Finance – Concessional Loans Scheme – administration,1550,1550,1550,0,0,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Administered expenses,Expenses not requiring appropriation in the budget year,Regional Investment Corporation - discount expenses,0,0,27233,25389,25389,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Departmental expenses,Departmental appropriation,,50438,66554,53737,57777,50198,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Departmental expenses,Expenses not requiring appropriation in the budget year,,2278,2497,2497,2497,2497,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Departmental expenses,Special account,"Wheat Industry Special Account – 
s. 80, PGPA Act 2013 [s. 58(2), Wheat Export Marketing Act 2008]",0,0,0,0,0,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Departmental expenses,Departmental appropriation,,34510,35590,36275,28453,28453,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Departmental expenses,Expenses not requiring appropriation in the budget year,,579,635,635,635,635,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Program 1.1: Agricultural Adaptation,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Clean Energy Future – Creating Opportunities on the Land – extending the benefits of the Carbon Farming Initiative,11061,0,0,0,0,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Program 1.1: Agricultural Adaptation,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Interim Farm Household Allowance,0,0,0,0,0,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Program 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),A Competitive Agriculture Sector – boosting farm profits through rural research and development,18400,13591,23501,23501,25000,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Program 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),A Competitive Agriculture Sector – improved access to agricultural and veterinary chemicals,2532,1930,0,0,0,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Program 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Agricultural and Veterinary Chemicals Minor Use Program,136,134,130,133,135,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Program 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),"Australian Grape and 
Wine Authority",2000,16014,15924,16062,0,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Program 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Australian Pesticides and Veterinary Medicines Authority,0,2634,1604,1606,1629,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Program 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),"Beef Week and the 
Beef Australia Expo",850,2350,550,250,0,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Program 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),"Community Development
Grants Program",100,0,0,0,0,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Program 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),"Leadership in Agriculture
Industries Fund",0,3780,1000,0,0,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Program 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),"Northern Australia Rice Industry
",1000,1000,1000,1000,0,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Program 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Relocation of the Australian Pesticides and Veterinary Medicines Authority,1732,2861,11527,2009,2570,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Department of Agriculture,"Outcome 1: More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets.",Program 1.10: Agricultural Resources,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Rural Industries Research and Development Corporation,9170,9342,9470,9220,9358,2017-18 PBS - Agriculture for data.xlsx,DoAWR Table 2.1 Outcome 1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
